date,google_trends,twitter,ensemble_trend,harmonic_p,Holm_pval(alpha=0.05),up/down trend,date
2020-08-07,1,1,1,3.637977981718683e-18,2.3028400624279267e-15,1,2020-08-07
2020-08-08,1,1,1,2.0896898269532702e-16,1.1263428167278126e-13,1,2020-08-08
2020-08-09,1,1,1,3.901910970636741e-15,1.779271402610354e-12,1,2020-08-09
2020-08-10,1,1,1,1.728890196163585e-14,7.3304944317336e-12,1,2020-08-10
2020-08-11,1,1,1,2.16361102909263e-15,1.0147335726444434e-12,1,2020-08-11
2020-08-12,1,1,1,2.89292609811165e-17,1.6634325064141988e-14,1,2020-08-12
2020-08-13,1,1,1,1.0403465065154647e-19,7.334442870934026e-17,1,2020-08-13
2020-08-14,1,1,1,1.9503855680416423e-20,1.4491364770549403e-17,1,2020-08-14
2020-08-15,1,1,1,3.2482787153399793e-18,2.0626569842408867e-15,1,2020-08-15
2020-08-16,1,1,1,2.111960092768655e-16,1.1362345299095364e-13,1,2020-08-16
2020-08-17,1,1,1,2.657012856483598e-15,1.2328539654083895e-12,1,2020-08-17
2020-08-18,1,1,1,2.7550900305647436e-16,1.4574426261687494e-13,1,2020-08-18
2020-08-19,1,1,1,2.3863612582194916e-16,1.2743169118892085e-13,1,2020-08-19
2020-08-20,1,1,1,1.6067048384513717e-15,7.712183224566585e-13,1,2020-08-20
2020-08-21,1,0,0,100.0,1.0,0,2020-08-21
2020-08-22,1,0,0,100.0,1.0,0,2020-08-22
2020-08-23,1,-1,0,100.0,1.0,0,2020-08-23
2020-08-24,1,-1,0,100.0,1.0,0,2020-08-24
2020-08-25,1,-1,0,100.0,1.0,0,2020-08-25
2020-08-26,1,-1,0,100.0,1.0,0,2020-08-26
2020-08-27,0,-1,0,100.0,1.0,0,2020-08-27
2020-08-28,0,-1,0,100.0,1.0,0,2020-08-28
2020-08-29,-1,-1,-1,4.638015512502141e-12,1.706789708600788e-09,-1,2020-08-29
2020-08-30,-1,-1,-1,2.2277539490961892e-13,8.532297625038405e-11,-1,2020-08-30
2020-08-31,-1,-1,-1,1.1251347081953858e-15,5.468154681829575e-13,-1,2020-08-31
2020-09-01,-1,-1,-1,1.4942936314802054e-18,9.74279447725094e-16,-1,2020-09-01
2020-09-02,-1,-1,-1,1.6076089922828032e-19,1.1253262945979623e-16,-1,2020-09-02
2020-09-03,-1,-1,-1,3.754695028516733e-18,2.3729672580225755e-15,-1,2020-09-03
2020-09-04,-1,-1,-1,4.4886712677644543e-17,2.5630312938935035e-14,-1,2020-09-04
2020-09-05,-1,0,0,100.0,1.0,0,2020-09-05
2020-09-06,-1,0,0,100.0,1.0,0,2020-09-06
2020-09-07,-1,1,0,100.0,1.0,0,2020-09-07
2020-09-08,-1,1,0,100.0,1.0,0,2020-09-08
2020-09-09,-1,1,0,100.0,1.0,0,2020-09-09
2020-09-10,-1,1,0,100.0,1.0,0,2020-09-10
2020-09-11,-1,1,0,100.0,1.0,0,2020-09-11
2020-09-12,-1,1,0,100.0,1.0,0,2020-09-12
2020-09-13,-1,1,0,100.0,1.0,0,2020-09-13
2020-09-14,-1,1,0,100.0,1.0,0,2020-09-14
2020-09-15,-1,1,0,100.0,1.0,0,2020-09-15
2020-09-16,-1,1,0,100.0,1.0,0,2020-09-16
2020-09-17,-1,1,0,100.0,1.0,0,2020-09-17
2020-09-18,-1,1,0,100.0,1.0,0,2020-09-18
2020-09-19,-1,1,0,100.0,1.0,0,2020-09-19
2020-09-20,-1,1,0,100.0,1.0,0,2020-09-20
2020-09-21,-1,1,0,100.0,1.0,0,2020-09-21
2020-09-22,-1,1,0,100.0,1.0,0,2020-09-22
2020-09-23,-1,1,0,100.0,1.0,0,2020-09-23
2020-09-24,-1,1,0,100.0,1.0,0,2020-09-24
2020-09-25,-1,1,0,100.0,1.0,0,2020-09-25
2020-09-26,-1,1,0,100.0,1.0,0,2020-09-26
2020-09-27,-1,1,0,100.0,1.0,0,2020-09-27
2020-09-28,0,1,0,100.0,1.0,0,2020-09-28
2020-09-29,1,1,1,1.5122590700245847e-14,6.457346229004977e-12,1,2020-09-29
2020-09-30,1,1,1,2.472653092868434e-14,1.0261510335404002e-11,1,2020-09-30
2020-10-01,1,1,1,5.504426410328097e-14,2.1852572849002544e-11,1,2020-10-01
2020-10-02,1,1,1,1.0173484120270659e-13,3.957485322785286e-11,1,2020-10-02
2020-10-03,1,1,1,1.4055199579065274e-14,6.015625419839937e-12,1,2020-10-03
2020-10-04,1,1,1,8.502470284736118e-16,4.2002203206596427e-13,1,2020-10-04
2020-10-05,1,1,1,4.0232600447713296e-15,1.8265600603261838e-12,1,2020-10-05
2020-10-06,1,1,1,4.09238396136861e-14,1.6451383524701813e-11,1,2020-10-06
2020-10-07,0,1,0,100.0,1.0,0,2020-10-07
2020-10-08,0,1,0,100.0,1.0,0,2020-10-08
2020-10-09,0,1,0,100.0,1.0,0,2020-10-09
2020-10-10,0,1,0,100.0,1.0,0,2020-10-10
2020-10-11,0,1,0,100.0,1.0,0,2020-10-11
2020-10-12,-1,1,0,100.0,1.0,0,2020-10-12
2020-10-13,0,0,0,100.0,1.0,0,2020-10-13
2020-10-14,0,0,0,100.0,1.0,0,2020-10-14
2020-10-15,0,0,0,100.0,1.0,0,2020-10-15
2020-10-16,0,-1,0,100.0,1.0,0,2020-10-16
2020-10-17,1,-1,0,100.0,1.0,0,2020-10-17
2020-10-18,1,-1,0,100.0,1.0,0,2020-10-18
2020-10-19,0,-1,0,100.0,1.0,0,2020-10-19
2020-10-20,0,-1,0,100.0,1.0,0,2020-10-20
2020-10-21,-1,-1,-1,1.601710848082313e-16,8.793392555971898e-14,-1,2020-10-21
2020-10-22,-1,-1,-1,2.4229563091747904e-17,1.4077376156305532e-14,-1,2020-10-22
2020-10-23,-1,-1,-1,2.7817952974936085e-16,1.4687879170766253e-13,-1,2020-10-23
2020-10-24,-1,-1,-1,1.8565677477841778e-15,8.837262479452686e-13,-1,2020-10-24
2020-10-25,-1,-1,-1,5.4860192013762965e-15,2.4357925254110756e-12,-1,2020-10-25
2020-10-26,-1,-1,-1,1.7382341674991695e-14,7.352730528521487e-12,-1,2020-10-26
2020-10-27,-1,-1,-1,3.210900768403993e-16,1.6760902011068845e-13,-1,2020-10-27
2020-10-28,-1,-1,-1,4.727371805775283e-14,1.8956760941158885e-11,-1,2020-10-28
2020-10-29,-1,-1,-1,1.5668370949900887e-12,5.812965622413229e-10,-1,2020-10-29
2020-10-30,-1,-1,-1,9.377478251578234e-12,3.4321570400776337e-09,-1,2020-10-30
2020-10-31,-1,-1,-1,7.285623632092701e-11,2.6373957548175578e-08,-1,2020-10-31
2020-11-01,-1,-1,-1,8.02883037264678e-12,2.9465807467613685e-09,-1,2020-11-01
2020-11-02,-1,-1,-1,5.350371708784139e-13,2.0224405059204045e-10,-1,2020-11-02
2020-11-03,-1,0,0,100.0,1.0,0,2020-11-03
2020-11-04,-1,1,0,100.0,1.0,0,2020-11-04
2020-11-05,-1,1,0,100.0,1.0,0,2020-11-05
2020-11-06,-1,1,0,100.0,1.0,0,2020-11-06
2020-11-07,-1,1,0,100.0,1.0,0,2020-11-07
2020-11-08,-1,1,0,100.0,1.0,0,2020-11-08
2020-11-09,-1,1,0,100.0,1.0,0,2020-11-09
2020-11-10,-1,1,0,100.0,1.0,0,2020-11-10
2020-11-11,-1,1,0,100.0,1.0,0,2020-11-11
2020-11-12,-1,1,0,100.0,1.0,0,2020-11-12
2020-11-13,-1,1,0,100.0,1.0,0,2020-11-13
2020-11-14,-1,1,0,100.0,1.0,0,2020-11-14
2020-11-15,-1,1,0,100.0,1.0,0,2020-11-15
2020-11-16,-1,1,0,100.0,1.0,0,2020-11-16
2020-11-17,-1,1,0,100.0,1.0,0,2020-11-17
2020-11-18,-1,1,0,100.0,1.0,0,2020-11-18
2020-11-19,-1,1,0,100.0,1.0,0,2020-11-19
2020-11-20,-1,1,0,100.0,1.0,0,2020-11-20
2020-11-21,-1,1,0,100.0,1.0,0,2020-11-21
2020-11-22,-1,1,0,100.0,1.0,0,2020-11-22
2020-11-23,-1,1,0,100.0,1.0,0,2020-11-23
2020-11-24,-1,1,0,100.0,1.0,0,2020-11-24
2020-11-25,-1,1,0,100.0,1.0,0,2020-11-25
2020-11-26,-1,1,0,100.0,1.0,0,2020-11-26
2020-11-27,1,1,1,1.009653235834012e-15,4.957397387944998e-13,1,2020-11-27
2020-11-28,1,1,1,1.7247946171346356e-16,9.331138878698379e-14,1,2020-11-28
