date,Durchfall,Angst,Rachenschmerzen,Fieber,Entzündung,Muskelschmerzen,Schock,trockener Husten,Sputum,Husten,Kopfschmerzen,Erbrechen,Übelkeit,Lymphopenie,Pneumonie,respiratorische Insuffizienz,Dyspnoe,Hypoxämie,Müdigkeit,Ausfluss,ensemble_trend,harmonic_p,Holm_pval(alpha=0.05),up/down trend
2020-03-21,-1,-1,-1,-1,-1,0,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,8.337480081881008e-17,2.4845690644005406e-14,-1
2020-03-22,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,-1,3.4316106545456497e-16,8.819239382182319e-14,-1
2020-03-23,-1,-1,0,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,-1,1.5143241735598953e-16,4.255250927703306e-14,-1
2020-03-24,-1,-1,0,-1,-1,1,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,1,0,1,-1,5.110071807359601e-17,1.5943424038961955e-14,-1
2020-03-25,-1,-1,0,-1,-1,1,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,1,0,1,-1,1.735421397009202e-17,6.091329103502299e-15,-1
2020-03-26,-1,-1,0,-1,0,1,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,1,0,1,-1,5.6861252715043195e-18,2.2289611064296933e-15,-1
2020-03-27,-1,-1,0,-1,0,1,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,1,1,1,-1,2.7128832712197075e-18,1.1421238571834968e-15,-1
2020-03-28,-1,-1,1,-1,0,1,0,-1,0,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,-1,2.8914456000284414e-18,1.2028413696118317e-15,-1
2020-03-29,-1,-1,1,-1,0,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,-1,1.9954925892026945e-17,6.784674803289162e-15,-1
2020-03-30,-1,-1,1,-1,0,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,-1,4.523299622793364e-16,1.130824905698341e-13,-1
2020-03-31,-1,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,-1,9.281063244713538e-18,3.3968691475651552e-15,-1
2020-04-01,-1,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,-1,1.6288284678596072e-19,8.66536744901311e-17,-1
2020-04-02,-1,-1,1,-1,1,1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,1,1,1,-1,3.079973270841387e-19,1.5399866354206936e-16,-1
2020-04-03,-1,-1,1,-1,1,1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,1,1,1,-1,2.4928354972043655e-18,1.056962250814651e-15,-1
2020-04-04,-1,0,1,-1,1,1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,1,1,1,-1,3.7560967544272486e-19,1.8367313129149247e-16,-1
2020-04-05,-1,0,1,-1,1,1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,1,1,1,-1,2.4351083923903e-20,1.4513246018646188e-17,-1
2020-04-06,-1,0,1,-1,1,1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,1,1,1,-1,8.723826065991812e-21,5.496010421574842e-18,-1
2020-04-07,-1,0,1,-1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,-1,1.6801999802499964e-20,1.0198813880117478e-17,-1
2020-04-08,-1,0,1,-1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,-1,7.847367990606645e-20,4.3474418667960814e-17,-1
2020-04-09,-1,1,1,-1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,0,100.0,1.0,0
2020-04-10,-1,1,1,-1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,0,100.0,1.0,0
2020-04-11,-1,1,1,-1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,0,100.0,1.0,0
2020-04-12,-1,1,1,-1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,0,100.0,1.0,0
2020-04-13,-1,1,1,-1,1,1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,1,1,1,-1,3.257094362721284e-19,1.6252900869979207e-16,-1
2020-04-14,-1,1,1,-1,1,1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,1,1,1,-1,1.4120004949226074e-18,6.212802177659473e-16,-1
2020-04-15,-1,1,1,-1,1,1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,1,1,1,-1,1.8876079264938823e-19,9.891065534827943e-17,-1
2020-04-16,-1,1,1,-1,1,1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,1,1,0,-1,8.007130622538653e-21,5.092535075934584e-18,-1
2020-04-17,-1,1,1,-1,1,1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,1,1,0,-1,6.451369206745849e-21,4.122424923110597e-18,-1
2020-04-18,-1,1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,0,-1,1.0558061363287728e-18,4.803917920295917e-16,-1
2020-04-19,0,1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,0,-1,1.7118596773706505e-18,7.463708193336036e-16,-1
2020-04-20,0,1,1,-1,1,1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,1,1,0,-1,2.8545984679244367e-20,1.6842130960754176e-17,-1
2020-04-21,0,1,1,-1,1,1,1,-1,-1,-1,-1,0,1,-1,-1,-1,0,1,1,-1,-1,1.0841925216119112e-21,7.459244548689949e-19,-1
2020-04-22,0,1,1,-1,1,1,1,-1,-1,-1,-1,0,0,-1,-1,-1,0,1,1,-1,-1,2.111125415474543e-21,1.4165651537834183e-18,-1
2020-04-23,0,1,1,-1,1,1,1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,1,-1,-1,1.1496555874495353e-19,6.277119507474462e-17,-1
2020-04-24,1,1,1,-1,1,1,1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,1,-1,-1,9.251476903938698e-18,3.395292023745502e-15,-1
2020-04-25,1,1,1,-1,1,1,1,-1,-1,-1,0,1,0,-1,-1,-1,0,0,1,-1,0,100.0,1.0,0
2020-04-26,1,1,1,-1,1,1,1,-1,-1,-1,0,1,0,-1,-1,-1,1,0,1,-1,1,8.76759203017432e-16,2.1129896792720112e-13,1
2020-04-27,1,1,1,-1,1,1,1,-1,-1,-1,0,1,-1,-1,-1,-1,1,-1,1,-1,-1,2.3959561137104993e-19,1.2267295302197757e-16,-1
2020-04-28,1,1,1,-1,1,1,1,-1,-1,-1,0,1,-1,-1,-1,-1,1,-1,1,-1,-1,5.4948302657099e-21,3.533175860851466e-18,-1
2020-04-29,1,1,1,-1,1,1,1,-1,-1,-1,0,1,-1,-1,-1,-1,1,-1,1,-1,-1,2.007051360941048e-20,1.210251970647452e-17,-1
2020-04-30,1,1,1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,1,-1,0,100.0,1.0,0
2020-05-01,1,1,1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,1,-1,0,100.0,1.0,0
2020-05-02,1,1,1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,1,-1,0,100.0,1.0,0
2020-05-03,1,0,1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,1,-1,-1,1.6155602571884956e-20,9.863754074985003e-18,-1
2020-05-04,1,0,1,-1,0,1,1,-1,-1,-1,1,1,0,-1,-1,-1,1,-1,1,-1,-1,2.8223910921681116e-23,2.1309052745869243e-20,-1
2020-05-05,1,0,1,-1,0,1,1,-1,-1,-1,1,1,0,-1,-1,-1,1,-1,1,-1,-1,2.0800887894079177e-26,1.7077528961039003e-23,-1
2020-05-06,1,0,1,-1,0,1,1,-1,-1,-1,1,1,0,-1,-1,-1,1,-1,1,-1,-1,3.1637300937978313e-27,2.629059707945998e-24,-1
2020-05-07,1,0,1,-1,0,1,1,-1,-1,-1,1,1,0,-1,-1,-1,1,-1,1,-1,-1,1.7795933212313463e-25,1.4307930302700025e-22,-1
2020-05-08,1,-1,1,-1,-1,1,1,-1,-1,-1,1,1,0,-1,-1,-1,1,-1,1,-1,-1,3.9244546986385866e-24,3.0414523914449046e-21,-1
2020-05-09,1,-1,1,-1,-1,1,1,-1,-1,-1,1,1,0,-1,-1,-1,1,-1,1,-1,-1,1.3008273870340086e-23,9.925312963069486e-21,-1
2020-05-10,1,-1,1,-1,-1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,-1,1.1321120565609036e-23,8.660657232690913e-21,-1
2020-05-11,1,-1,1,-1,-1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,-1,2.2957608974935546e-24,1.7952850218399597e-21,-1
2020-05-12,1,-1,1,-1,-1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,-1,9.036892697484158e-25,7.139145231012485e-22,-1
2020-05-13,1,-1,1,-1,-1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,-1,2.4510260925493867e-22,1.7524836561728114e-19,-1
2020-05-14,1,-1,1,-1,-1,0,1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,-1,1.843970210066408e-19,9.71772300704997e-17,-1
2020-05-15,1,-1,1,-1,-1,0,1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,-1,4.851034117718268e-20,2.789344617688004e-17,-1
2020-05-16,1,-1,1,-1,-1,0,1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,-1,5.3916723306912414e-21,3.4776286532958505e-18,-1
2020-05-17,1,-1,1,-1,-1,0,1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,-1,2.2401344425132606e-20,1.3440806655079564e-17,-1
2020-05-18,1,-1,1,-1,-1,0,1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,-1,7.683099086791052e-20,4.2641199931690335e-17,-1
2020-05-19,1,-1,1,-1,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,-1,1.5899455388301443e-20,9.730466697640483e-18,-1
2020-05-20,1,-1,1,-1,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,-1,2.207492620410433e-21,1.4790200556749901e-18,-1
2020-05-21,1,-1,1,-1,-1,-1,0,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,-1,3.1037494797504888e-22,2.203662130622847e-19,-1
