date,Husten,Ausfluss,Übelkeit,Schock,Hypoxämie,Erbrechen,Muskelschmerzen,Durchfall,Lungenentzündung,Halsentzündung,Fieber,Kopfschmerzen,Lymphopenie,Entzündung,trockener Husten,Atemnot,Sputum,Müdigkeit,respiratorische Insuffizienz,Angst,ensemble_trend,harmonic_p,Holm_pval(alpha=0.05),up/down trend
2021-06-28,1,0,-1,1,1,-1,-1,1,1,0,-1,-1,0,0,1,1,-1,-1,0,1,1,5.032478524117018e-14,6.491897296110954e-12,1
2021-06-29,1,0,-1,1,1,-1,-1,1,1,0,-1,-1,0,0,1,1,-1,-1,0,1,1,9.10594365129541e-15,1.639069857233174e-12,1
2021-06-30,1,0,-1,1,1,-1,-1,1,1,0,-1,-1,0,0,1,1,-1,-1,0,1,1,1.4228136150505047e-15,3.386296403820201e-13,1
2021-07-01,0,0,-1,1,1,-1,-1,1,1,0,-1,-1,0,-1,1,1,-1,-1,0,1,-1,6.744589156266197e-16,1.807549893879341e-13,-1
2021-07-02,0,0,-1,1,1,-1,-1,1,1,0,-1,-1,0,-1,1,1,0,-1,0,1,0,100.0,1.0,0
2021-07-03,0,-1,-1,0,1,-1,-1,1,1,-1,-1,-1,0,-1,1,1,0,-1,0,1,-1,3.1236799488349916e-18,1.4243980566687561e-15,-1
2021-07-04,0,-1,-1,0,0,-1,-1,1,1,-1,-1,-1,0,-1,1,1,0,-1,0,1,-1,2.004335994629673e-16,6.173354863459393e-14,-1
2021-07-05,0,-1,-1,0,0,-1,-1,1,1,-1,-1,-1,0,-1,1,1,0,-1,0,1,-1,5.233848929651704e-15,1.0206005412820824e-12,-1
2021-07-06,-1,-1,-1,0,0,-1,-1,1,1,-1,-1,-1,1,-1,1,1,0,-1,0,1,-1,9.218319445192525e-14,1.0969800139779104e-11,-1
2021-07-07,-1,-1,-1,0,0,-1,-1,1,1,-1,-1,-1,1,-1,1,1,1,-1,0,1,-1,1.5170282809989776e-13,1.6080499778589162e-11,-1
2021-07-08,-1,-1,-1,-1,0,-1,-1,1,1,-1,-1,-1,1,-1,0,1,1,-1,0,1,-1,1.9527362733879956e-15,4.422810187711146e-13,-1
2021-07-09,-1,-1,-1,-1,0,-1,-1,1,1,-1,-1,-1,1,-1,0,1,1,-1,0,1,-1,4.955912980056095e-18,2.1806017112246818e-15,-1
2021-07-10,-1,-1,-1,-1,0,-1,-1,1,1,-1,-1,-1,1,-1,0,1,1,-1,0,1,-1,1.8956203774116227e-21,1.2530050694690826e-18,-1
2021-07-11,-1,-1,-1,-1,0,-1,-1,1,1,-1,-1,-1,1,-1,0,1,1,-1,0,1,-1,1.2286253503359927e-25,9.853575309694662e-23,-1
2021-07-12,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,1,-1,-1,1,1,-1,0,1,-1,2.263509711613289e-27,1.8696590217925768e-24,-1
